,Unnamed: 0,area_type,location,size,society,total_sqft,bath,balcony,price
6074,6202,Built-up  Area,Ramamurthy Nagar,2 BHK,,700,2.0,1.0,33.0
8236,8451,Built-up  Area,Thanisandra,3 BHK,Bhmesy ,1491,3.0,1.0,88.0
7677,7862,Super built-up  Area,Yelahanka,3 BHK,NCarkna,1614,3.0,2.0,93.0
3739,3782,Super built-up  Area,Subramanyapura,3 BHK,Prldsri,1330,3.0,2.0,72.0
10008,10337,Super built-up  Area,Yelahanka,3 BHK,Miitat ,1835,3.0,1.0,108.0
821,821,Super built-up  Area,manyata park,3 BHK,,1780,3.0,1.0,84.83
2063,2073,Super built-up  Area,Race Course Road,4 BHK,,4750,5.0,,600.0
8637,8882,Built-up  Area,Ardendale,3 BHK,Mahtsba,1650,3.0,3.0,82.0
81,81,Built-up  Area,Hennur Road,4 BHK,Gollela,2957 - 3450,,,224.5
9079,9356,Super built-up  Area,Babusapalaya,3 BHK,,1213,2.0,1.0,36.37
12657,13178,Built-up  Area,Kasavanhalli,2 BHK,Brersge,1121,2.0,2.0,75.0
2697,2719,Super built-up  Area,Sarjapur  Road,3 BHK,,1220,3.0,3.0,56.0
831,831,Super built-up  Area,Thanisandra,2 BHK,SLaceda,1114,2.0,1.0,39.0
4574,4639,Super built-up  Area,Ramamurthy Nagar,3 BHK,Vaharvi,1410,2.0,1.0,56.4
3826,3873,Super built-up  Area,Nagadevanahalli,2 BHK,,1080,2.0,2.0,39.0
7333,7507,Super built-up  Area,Binny Pete,3 BHK,She 2rk,1740,3.0,1.0,150.0
2833,2860,Built-up  Area,Koramangala,4 BHK,,2700,4.0,3.0,450.0
8464,8697,Plot  Area,NRI Layout,2 BHK,,1250,2.0,0.0,75.0
11882,12340,Super built-up  Area,Whitefield,3 BHK,Salesni,1400,2.0,3.0,56.0
7199,7367,Built-up  Area,GM Palaya,2 BHK,,1030,2.0,1.0,60.0
48,48,Plot  Area,KR Puram,2 BHK,,800,1.0,1.0,130.0
11761,12213,Built-up  Area,Bannerghatta Road,4 BHK,,2400,4.0,1.0,180.0
5333,5423,Built-up  Area,Kirloskar Layout,3 BHK,,1400,3.0,2.0,35.0
7884,8077,Built-up  Area,Banjara Layout,2 BHK,,1050,2.0,1.0,64.8
9783,10098,Built-up  Area,Yeshwanthpur,2 BHK,,570,2.0,1.0,62.0
5360,5452,Super built-up  Area,Gunjur,2 BHK,Akncyes,1080,2.0,2.0,41.0
9620,9931,Super built-up  Area,Sarjapur  Road,3 BHK,Adeatlm,2275,4.0,2.0,175.0
4095,4149,Super built-up  Area,Roopena Agrahara,3 BHK,,1300,3.0,2.0,47.0
2689,2711,Built-up  Area,Frazer Town,3 BHK,Nanorkr,3500,4.0,2.0,330.0
6412,6554,Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,Prllsan,1178,2.0,1.0,75.0
10261,10602,Built-up  Area,Sector 7 HSR Layout,3 BHK,Saitya ,2400,2.0,3.0,195.0
4845,4920,Super built-up  Area,Sarjapur  Road,3 BHK,Adeatlm,1846,3.0,3.0,145.0
11206,11616,Super built-up  Area,Vittasandra,2 BHK,Prlla C,1246,2.0,1.0,67.5
2373,2388,Super built-up  Area,Kanakpura Road,3 BHK,Wiowsri,1480,2.0,2.0,64.23
12721,13243,Super built-up  Area,Doddathoguru,3 BHK,SRanail,1783,3.0,3.0,85.0
2758,2784,Super built-up  Area,BTM 2nd Stage,2 BHK,Crentt ,1200,2.0,2.0,80.0
8215,8428,Built-up  Area,Vishwanatha Nagenahalli,4 BHK,,2200,3.0,0.0,115.0
11565,11998,Built-up  Area,Kumaraswami Layout,3 BHK,,1310,2.0,1.0,85.0
7092,7256,Super built-up  Area,Doddabommasandra,9 BHK,,2400,8.0,,325.0
8935,9201,Super built-up  Area,Kengeri,2 BHK,DRens A,1220,2.0,2.0,63.0
3880,3929,Built-up  Area,Hanumagiri,2 BHK,Nastadr,1100,2.0,1.0,38.0
10415,10766,Super built-up  Area,Tumkur Road,3 BHK,Sahtsva,1240,2.0,1.0,83.0
5773,5883,Plot  Area,Kengeri Satellite Town,4 BHK,,4100,3.0,0.0,300.0
4934,5012,Built-up  Area,NRI Layout,2 BHK,,1060,2.0,2.0,35.0
11729,12178,Super built-up  Area,Sarjapur  Road,2 BHK,Shthi S,1150,2.0,1.0,48.5
11427,11851,Built-up  Area,Maruthi Sevanagar,2 BHK,,933,2.0,0.0,55.0
7320,7493,Super built-up  Area,Whitefield,3 BHK,Prtates,2134,4.0,2.0,118.0
3945,3997,Super built-up  Area,Kalena Agrahara,2 BHK,PrncyRe,800,2.0,2.0,30.0
10102,10436,Super built-up  Area,Electronic City,2 BHK,Itelaa ,660,1.0,1.0,16.5
2164,2176,Built-up  Area,KR Puram,2 BHK,,750,2.0,1.0,25.0
2886,2913,Super built-up  Area,Dodda Nekkundi,3 BHK,,1804,3.0,2.0,121.0
9919,10246,Built-up  Area,RPC layout,2 BHK,,1100,2.0,2.0,68.0
9257,9546,Plot  Area,Yemlur,5 BHK,Epllan ,10000,5.0,,1950.0
516,516,Super built-up  Area,Haralur Road,4 BHK,SNnia E,2805,5.0,3.0,154.0
11298,11713,Super built-up  Area,Brookefield,3 BHK,,1589,3.0,2.0,74.0
7237,7407,Super built-up  Area,Old Madras Road,3 BHK,Brglede,1480,3.0,2.0,95.0
172,172,Super built-up  Area,Electronic City,2 BHK,Prarkun,1152,2.0,1.0,64.5
639,639,Built-up  Area,Malleshwaram,4 BHK,GaityEt,2500,5.0,2.0,325.0
5553,5654,Super built-up  Area,Rachenahalli,1 BHK,,680,1.0,1.0,46.0
7091,7255,Super built-up  Area,Ambalipura,2 BHK,Sisice ,950,2.0,1.0,31.95
5065,5149,Super built-up  Area,Kambipura,3 BHK,Prrtht ,1082,2.0,1.0,45.0
1143,1146,Plot  Area,Hunasamaranahalli,4 BHK,EmardBo,4000,4.0,2.0,675.0
9210,9497,Built-up  Area,HRBR Layout,4 BHK,Aples M,1900,3.0,1.0,90.0
8079,8285,Built-up  Area,Mallasandra,2 BHK,GMilse ,1325,2.0,2.0,73.0
10705,11080,Super built-up  Area,Ashok Nagar,4 BHK,,8321,5.0,2.0,2912.0
1832,1841,Super built-up  Area,Badavala Nagar,3 BHK,DNncasa,1494,2.0,2.0,94.55
8292,8509,Super built-up  Area,Sarjapur  Road,2 BHK,AsastDe,984,2.0,1.0,45.91
6964,7123,Super built-up  Area,Gottigere,3 BHK,,1400,2.0,1.0,50.0
3686,3729,Super built-up  Area,Lingadheeranahalli,3 BHK,Soiewre,1682,3.0,1.0,120.0
9707,10020,Super built-up  Area,Akshaya Nagar,3 BHK,DLhtsnd,1896,3.0,2.0,102.0
8209,8422,Super built-up  Area,Hebbal,2 BHK,Magiaya,985,2.0,2.0,62.0
4537,4601,Plot  Area,Judicial Layout,6 BHK,,1200,6.0,2.0,300.0
7988,8187,Plot  Area,Sarjapur  Road,3 BHK,Adeatlm,5400,3.0,2.0,700.0
8242,8457,Super built-up  Area,Kanakpura Road,3 BHK,PrarePa,1100,3.0,2.0,56.57
834,834,Built-up  Area,Vasanthapura,2 BHK,,1022,2.0,2.0,40.0
2486,2503,Super built-up  Area,Kaggadasapura,2 BHK,,1063,2.0,2.0,42.0
9571,9878,Built-up  Area,Varanasi,2 BHK,Ocuil T,1334,2.0,1.0,62.0
6458,6602,Super built-up  Area,Arekere,3 BHK,,2060,3.0,2.0,150.0
7453,7632,Built-up  Area,Hebbal Kempapura,3 BHK,GonumPl,3408,3.0,3.0,260.0
8470,8705,Super built-up  Area,Rayasandra,4 BHK,,1708,3.0,1.0,76.0
11267,11680,Built-up  Area,Ejipura,2 BHK,BadorSp,1200,2.0,1.0,60.0
7682,7867,Super built-up  Area,Whitefield,2 BHK,,1190,2.0,2.0,41.0
7061,7222,Built-up  Area,Bellandur,3 BHK,Krala D,1785,3.0,2.0,120.0
65,65,Super built-up  Area,Doddathoguru,2 BHK,,1100,2.0,1.0,62.0
5875,5990,Plot  Area,Jigani,4 BHK,,2420,4.0,1.0,190.0
7450,7629,Super built-up  Area,Attibele,2 BHK,DSvar S,995,1.0,1.0,24.88
8692,8937,Super built-up  Area,Hiremath Layout,2 BHK,,1140,2.0,2.0,56.0
2024,2033,Plot  Area,Bikasipura,6 BHK,,2400,4.0,2.0,280.0
9295,9585,Super built-up  Area,Whitefield,3 BHK,Nillsre,1626,3.0,3.0,85.0
354,354,Super built-up  Area,Electronic City Phase II,1 BHK,SNbay G,630,1.0,1.0,28.35
6959,7118,Plot  Area,Anjana Nagar,2 BHK,,1530,2.0,1.0,185.0
4762,4832,Super built-up  Area,Marathahalli,1 BHK,Asintas,780,1.0,1.0,55.0
11843,12299,Built-up  Area,Bannerghatta Road,2 BHK,Puentpa,1270,2.0,2.0,45.0
11349,11768,Plot  Area,Kamakya Layout,6 BHK,,2750,6.0,3.0,200.0
6760,6911,Super built-up  Area,Bannerghatta Road,2 BHK,SNity S,1275,2.0,1.0,73.0
9413,9712,Super built-up  Area,Kudlu Gate,3 BHK,Sanzaat,1850,3.0,2.0,120.0
5936,6059,Super built-up  Area,JP Nagar,3 BHK,Adaveth,1500,2.0,3.0,82.0
4568,4633,Super built-up  Area,Kaikondrahalli,3 BHK,Srsica ,1342,3.0,3.0,92.0
3127,3160,Built-up  Area,Hebbal,2 BHK,,1053,2.0,1.0,48.0
5544,5645,Super built-up  Area,Jakkur,3 BHK,HRaniIb,1645,3.0,1.0,100.0
309,309,Super built-up  Area,JP Nagar,3 BHK,Maerar ,1850,3.0,3.0,150.0
5267,5355,Super built-up  Area,Electronics City Phase 1,2 BHK,Shitt S,1335,2.0,2.0,67.0
12120,12593,Plot  Area,R.T. Nagar,3 BHK,,1300,3.0,,145.0
11999,12465,Plot  Area,Palace Guttahalli,3 BHK,,875,3.0,1.0,115.0
6452,6596,Super built-up  Area,Kaggadasapura,3 BHK,Matlelp,1805,2.0,2.0,75.0
4354,4412,Plot  Area,CQAL Layout,4 BHK,,3811,3.0,2.0,475.0
8486,8721,Plot  Area,Yelahanka,2 BHK,,1633,2.0,1.0,72.0
10140,10475,Plot  Area,RK Colony,9 BHK,,1200,9.0,3.0,230.0
3587,3626,Super built-up  Area,Rustam Bagh Layout,3 BHK,Srowsee,1490,2.0,3.0,88.0
8940,9206,Super built-up  Area,Jakkur,2 BHK,Arzzo P,1424,2.0,3.0,80.0
2583,2604,Super built-up  Area,Hoodi,3 BHK,GoAirej,1850,3.0,2.0,146.0
5421,5516,Plot  Area,Vishveshwarya Layout,1 BHK,,750,1.0,1.0,30.0
2770,2796,Built-up  Area,Electronic City,3 BHK,Itelaa ,880,2.0,1.0,18.0
4812,4884,Super built-up  Area,Electronic City Phase II,2 BHK,SRhtsa ,888 - 1290,2.0,0.0,32.67
12487,12989,Built-up  Area,"Sarjapur Road, ",2 BHK,,1182,2.0,1.0,64.0
8710,8956,Plot  Area,Cunningham Road,5 BHK,,2925,5.0,3.0,936.0
5087,5172,Super built-up  Area,Yelahanka,2 BHK,,1060,2.0,1.0,40.0
6464,6608,Super built-up  Area,Chandapura,2 BHK,AMAKS O,937,2.0,1.0,30.0
5171,5258,Super built-up  Area,Kanakpura Road,2 BHK,Soazak ,1300,2.0,1.0,89.76
3209,3245,Super built-up  Area,Subramanyapura,3 BHK,Mayne A,1255,2.0,2.0,79.0
7672,7856,Super built-up  Area,Banaswadi,2 BHK,RailsDa,870,2.0,2.0,38.0
3905,3957,Built-up  Area,Seshadripuram,2 BHK,,600,3.0,2.0,75.0
8757,9007,Super built-up  Area,Electronic City,3 BHK,SJityVe,1609,3.0,3.0,115.0
12304,12793,Super built-up  Area,CV Raman Nagar,2 BHK,,1227,2.0,2.0,42.88
8775,9026,Built-up  Area,Kumaraswami Layout,3 BHK,,2400,2.0,1.0,125.0
7033,7192,Super built-up  Area,Jigani,3 BHK,DLhtsen,1230,3.0,3.0,60.0
2379,2394,Super built-up  Area,Harlur,3 BHK,SosicCl,1752.12,3.0,2.0,116.0
8919,9184,Super built-up  Area,Kothanur,3 BHK,Somumys,1787,3.0,2.0,107.0
12311,12800,Super built-up  Area,Sector 1 HSR Layout,3 BHK,Spngsin,1684,3.0,2.0,86.0
4169,4224,Super built-up  Area,Hebbal,3 BHK,Raard B,1645,3.0,2.0,121.0
10534,10897,Super built-up  Area,Thanisandra,3 BHK,G conTh,2030,4.0,1.0,125.0
3428,3467,Super built-up  Area,Basaveshwara Nagar Yelahanka,3 BHK,,1680,3.0,2.0,85.0
4421,4482,Built-up  Area,Varthur,8 BHK,,704,8.0,3.0,92.0
1101,1102,Super built-up  Area,Hennur Road,3 BHK,Orens G,1561,3.0,2.0,95.0
10859,11244,Plot  Area,BTM 1st Stage,6 BHK,,600,6.0,2.0,80.0
5769,5879,Super built-up  Area,Kanakpura Road,3 BHK,PuandHi,1665,3.0,2.0,86.58
12198,12678,Built-up  Area,Gubbalala,3 BHK,MauilTr,1745,3.0,2.0,130.0
3250,3287,Super built-up  Area,Bommasandra,2 BHK,SSestth,920,2.0,1.0,37.46
4409,4470,Plot  Area,Vidyapeeta,6 BHK,,875,3.0,1.0,98.0
4140,4194,Super built-up  Area,Bommasandra,3 BHK,Niara S,1478,2.0,,44.0
3557,3596,Built-up  Area,Channasandra,6 BHK,,4200,6.0,0.0,180.0
7781,7970,Plot  Area,R.T. Nagar,3 BHK,,1200,3.0,,140.0
118,118,Super built-up  Area,Malleshwaram,2 BHK,,1100,2.0,2.0,75.0
2022,2031,Built-up  Area,Sir M V Nagar,7 BHK,,4400,9.0,,120.0
4598,4663,Super built-up  Area,Gottigere,2 BHK,Sklls C,1235,2.0,2.0,63.0
5324,5413,Super built-up  Area,Uttarahalli,2 BHK,Aklia R,1125,2.0,1.0,47.0
5331,5421,Super built-up  Area,Bommasandra,2 BHK,SSestth,1005,2.0,1.0,39.77
11077,11476,Super built-up  Area,Thanisandra,2 BHK,Bhmesy ,1056,2.0,1.0,75.0
7565,7746,Super built-up  Area,8th Phase JP Nagar,2 BHK,,1100,2.0,3.0,35.0
9191,9476,Super built-up  Area,Hoodi,1 BHK,GoAirej,706 - 716,1.0,0.0,42.65
5227,5314,Super built-up  Area,Kasavanhalli,3 BHK,Goaysn ,1545,3.0,1.0,69.0
11518,11949,Super built-up  Area,Amblipura,2 BHK,IDldsin,1175,2.0,2.0,83.0
4681,4748,Super built-up  Area,CV Raman Nagar,2 BHK,Madener,1025,2.0,2.0,50.0
5003,5084,Super built-up  Area,Seegehalli,4 BHK,,2800,4.0,3.0,140.0
5473,5570,Super built-up  Area,Austin Town,2 BHK,,1250,2.0,1.0,60.0
5964,6089,Super built-up  Area,Hosakerehalli,3 BHK,Taonte ,2480,3.0,2.0,245.0
4273,4329,Built-up  Area,Ramamurthy Nagar,4 BHK,,850,2.0,1.0,65.0
9464,9766,Super built-up  Area,Koramangala,3 BHK,Proodt ,1744,4.0,1.0,210.0
87,87,Super built-up  Area,Dasanapura,2 BHK,Tavenew,708,2.0,2.0,37.0
10502,10861,Super built-up  Area,Narayanapura,2 BHK,AriosHe,1469,2.0,2.0,99.14
3382,3421,Super built-up  Area,Whitefield,2 BHK,SMuilan,1130,2.0,1.0,36.0
8471,8706,Plot  Area,Whitefield,3 BHK,Adowslm,1500,3.0,1.0,250.0
9853,10175,Built-up  Area,Marathahalli,1 BHK,RookaJh,1100,2.0,,75.0
403,403,Super built-up  Area,Gokula Extension,4 BHK,,1200,4.0,1.0,175.0
12450,12952,Super built-up  Area,Virupakshapura,2 BHK,Seamaha,1162,2.0,1.0,48.0
3350,3389,Super built-up  Area,Wilson Garden,2 BHK,Gonoril,1125,2.0,1.0,75.0
12360,12856,Super built-up  Area,Chellikere,2 BHK,,1088,2.0,2.0,46.0
9927,10254,Plot  Area,Hulimavu,2 BHK,,1500,2.0,0.0,90.0
9026,9299,Super built-up  Area,Balagere,1 BHK,Soresea,645 - 936,1.0,0.0,42.295
2241,2253,Super built-up  Area,Old Madras Road,2 BHK,SheldGr,935,2.0,1.0,45.0
9129,9408,Super built-up  Area,Sarjapur  Road,2 BHK,AsastDe,984,2.0,1.0,59.0
5821,5934,Plot  Area,Adityanagar,5 BHK,,875,5.0,3.0,120.0
8390,8616,Super built-up  Area,Munivenkatppa Layout,4 BHK,SNiew L,2375,3.0,,260.0
1027,1028,Super built-up  Area,KR Layout,1 BHK,,950,1.0,1.0,40.0
12414,12914,Super built-up  Area,Sarjapur  Road,3 BHK,SoniaEt,2206,4.0,1.0,180.0
12388,12886,Super built-up  Area,Sompura,4 BHK,Suiseit,2150,3.0,2.0,85.0
2436,2453,Super built-up  Area,Hennur Road,3 BHK,Puachal,1804,3.0,2.0,102.0
11167,11573,Super built-up  Area,Whitefield,2 BHK,BrlisCo,1270,2.0,1.0,94.0
8641,8886,Built-up  Area,Dasanapura,4 BHK,,2400,5.0,2.0,100.0
5298,5387,Built-up  Area,Doddakannelli,3 BHK,Sueesti,1477,2.0,2.0,80.0
1278,1281,Built-up  Area,Whitefield,3 BHK,,2842,3.0,2.0,162.0
8059,8264,Super built-up  Area,Electronic City,3 BHK,Prarkun,1571,3.0,2.0,83.0
8723,8970,Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,NaonySy,1640,3.0,1.0,86.8
5157,5244,Super built-up  Area,Vignana Nagar,2 BHK,Alows M,1110,2.0,2.0,58.0
1425,1430,Super built-up  Area,Neeladri Nagar,2 BHK,GeereEc,1363,2.0,2.0,68.0
5027,5110,Built-up  Area,Kanakpura Road,3 BHK,PuandHi,1800,3.0,2.0,90.0
5281,5370,Super built-up  Area,Ngef Layout,3 BHK,,1800,3.0,2.0,88.0
9063,9338,Super built-up  Area,7th Phase JP Nagar,3 BHK,Vasta C,1463,2.0,1.0,61.45
1502,1509,Super built-up  Area,Hiremath Layout,3 BHK,,1435,3.0,3.0,70.0
12460,12962,Plot  Area,8th Block Jayanagar,6 BHK,,1500,6.0,1.0,300.0
10952,11343,Plot  Area,Rajaji Nagar,5 BHK,,2400,5.0,1.0,408.0
10483,10841,Super built-up  Area,Hennur Road,3 BHK,Shxorm ,1590,3.0,2.0,105.0
11378,11799,Super built-up  Area,Whitefield,3 BHK,Asarqz ,1496,2.0,1.0,71.81
12000,12466,Built-up  Area,Chikkalasandra,2 BHK,,1325,2.0,1.0,59.0
678,678,Super built-up  Area,Bannerghatta Road,3 BHK,,1640,2.0,1.0,120.0
8904,9169,Built-up  Area,Shampura,2 BHK,Koillph,1187,2.0,2.0,42.0
5265,5353,Super built-up  Area,Hormavu,3 BHK,ARureig,1385,2.0,2.0,69.0
6346,6483,Super built-up  Area,Banashankari Stage VI,2 BHK,Brens7 ,1160,2.0,1.0,59.0
7698,7883,Super built-up  Area,Vasanth nagar,4 BHK,LeeyaCa,2000,3.0,2.0,1063.0
5053,5137,Super built-up  Area,Banashankari,1 BHK,,2400,1.0,1.0,200.0
7505,7686,Super built-up  Area,Whitefield,2 BHK,SMuilan,1109,2.0,1.0,35.22
6461,6605,Built-up  Area,Electronics City Phase 1,1 BHK,,638,1.0,1.0,32.0
1070,1071,Built-up  Area,Basava Nagar,2 BHK,Saarea ,1405,2.0,2.0,70.0
5795,5908,Super built-up  Area,Sonnenahalli,1 BHK,Skacak ,605 - 624,1.0,0.0,30.715
2480,2497,Super built-up  Area,Bannerghatta Road,3 BHK,SNity S,1550,3.0,2.0,78.0
12739,13261,Plot  Area,Havanur extension,3 BHK,,2000,2.0,2.0,360.0
3392,3431,Built-up  Area,Haralur Road,2 BHK,,1000,2.0,2.0,44.0
1099,1100,Plot  Area,Kacharakanahalli,1 BHK,,750,1.0,0.0,56.25
8679,8924,Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1608,3.0,3.0,54.51
12550,13058,Super built-up  Area,Kothanur,3 BHK,Somumys,1790,3.0,2.0,120.0
418,418,Plot  Area,Anandapura,2 BHK,,1000,2.0,1.0,55.0
9522,9826,Super built-up  Area,Kasavanhalli,2 BHK,,1069,2.0,2.0,55.0
5763,5873,Super built-up  Area,Yelahanka,2 BHK,PuziaVe,1322,2.0,2.0,75.0
1947,1956,Super built-up  Area,Gubbalala,3 BHK,MauilTr,1745,3.0,2.0,104.0
3336,3375,Super built-up  Area,Vijaya Bank Layout,3 BHK,,2400,2.0,1.0,150.0
2299,2313,Super built-up  Area,Malleshwaram,2 BHK,SrntsRV,900,2.0,1.0,95.0
11004,11398,Super built-up  Area,Rajaji Nagar,3 BHK,PhestOn,2500,3.0,3.0,340.0
7441,7620,Plot  Area,Banjara Layout,2 BHK,,1200,2.0,2.0,70.0
12507,13010,Super built-up  Area,Gottigere,2 BHK,SMshi M,1245,2.0,2.0,59.0
208,208,Built-up  Area,Nagondanahalli,2 BHK,,1207,2.0,2.0,43.5
3682,3725,Built-up  Area,Kengeri,2 BHK,,963,2.0,2.0,40.0
6729,6880,Super built-up  Area,HBR Layout,2 BHK,Visom B,1089,2.0,1.0,60.0
6829,6985,Plot  Area,Lakshmi Layout,6 BHK,,1200,4.0,2.0,115.0
12428,12928,Super built-up  Area,CV Raman Nagar,3 BHK,Pu270a ,1659,3.0,1.0,135.0
528,528,Super built-up  Area,Thanisandra,4 BHK,,3000,4.0,,120.0
5329,5419,Super built-up  Area,Bharathi Nagar,2 BHK,ReudePr,1384,2.0,2.0,59.0
779,779,Super built-up  Area,Cox Town,3 BHK,,1975,3.0,3.0,150.0
722,722,Super built-up  Area,Electronic City,2 BHK,Daives ,1094,2.0,2.0,42.0
8799,9055,Super built-up  Area,Doddakallasandra,2 BHK,,1010,2.0,1.0,40.4
8020,8221,Super built-up  Area,Sarjapur  Road,3 BHK,PuineSu,1435,3.0,2.0,90.0
1860,1869,Super built-up  Area,Anekal,2 BHK,,925,2.0,1.0,40.0
10843,11226,Built-up  Area,Whitefield,4 BHK,ArsiaEx,3453,4.0,2.0,247.0
12230,12714,Super built-up  Area,6th Phase JP Nagar,2 BHK,HMinebo,1280,2.0,1.0,88.0
10829,11211,Super built-up  Area,Jalahalli,3 BHK,BrardCo,1470,2.0,3.0,102.0
11594,12031,Plot  Area,Park View Layout,4 BHK,,600,4.0,1.0,70.0
1992,2001,Super built-up  Area,Ananth Nagar,1 BHK,,500,2.0,2.0,14.0
2332,2346,Super built-up  Area,Anjanapura,2 BHK,,1070,2.0,2.0,39.0
9024,9296,Super built-up  Area,Gollahalli,3 BHK,SuanaNa,1325,2.0,1.0,47.0
9453,9754,Super built-up  Area,Kasavanhalli,2 BHK,Doissa ,1575,2.0,3.0,85.0
6427,6571,Super built-up  Area,CV Raman Nagar,2 BHK,Chhalut,1560,2.0,2.0,85.0
3459,3498,Super built-up  Area,Harlur,3 BHK,Prncyrn,2240,5.0,2.0,155.0
10398,10748,Super built-up  Area,Kothanur,2 BHK,,1095,2.0,2.0,55.0
6114,6243,Super built-up  Area,Marathahalli,3 BHK,,1910,3.0,3.0,119.0
10403,10753,Super built-up  Area,Doddanakundi Industrial Area 2,2 BHK,,1194,2.0,1.0,51.0
7713,7898,Plot  Area,ITPL,3 BHK,,1200,3.0,1.0,56.12
4518,4582,Super built-up  Area,Akshaya Nagar,2 BHK,SuBayin,1200,2.0,1.0,50.0
5985,6111,Built-up  Area,Karuna Nagar,3 BHK,CoinoCu,2500,3.0,2.0,180.0
5138,5224,Super built-up  Area,Akshaya Nagar,3 BHK,HiahsLa,2061,3.0,3.0,175.0
6044,6171,Built-up  Area,Gunjur Palya,2 BHK,BDectou,830,2.0,2.0,40.0
11192,11602,Super built-up  Area,Marathahalli,3 BHK,NCenega,1449,3.0,2.0,110.0
257,257,Super built-up  Area,Electronic City,2 BHK,Prarkun,1108,2.0,1.0,63.0
9746,10061,Super built-up  Area,"Hoodi Circle, ",2 BHK,,1190,2.0,2.0,59.9
9679,9990,Plot  Area,Doddakannelli,6 BHK,,1200,9.0,3.0,122.0
11013,11408,Built-up  Area,9th Phase JP Nagar,4 BHK,ImiteEl,5000,4.0,,300.0
10221,10559,Super built-up  Area,Whitefield,1 BHK,Oreldhi,524,1.0,1.0,29.0
8178,8391,Super built-up  Area,Kengeri,1 BHK,,1200,1.0,1.0,14.0
3625,3664,Super built-up  Area,Rajarajeshwari Nagara,3 BHK,,2000,3.0,2.0,85.0
702,702,Super built-up  Area,JP Nagar,5 BHK,Pehtsa ,4400 - 6800,,,548.5
3189,3225,Built-up  Area,Nanjappa Layout,2 BHK,AnazaPl,1069,2.0,,55.0
503,503,Super built-up  Area,Hoodi,3 BHK,Caycend,1545,3.0,1.0,68.75
11269,11683,Built-up  Area,Chelekare,2 BHK,BhisePa,1000,2.0,1.0,45.0
2556,2574,Super built-up  Area,Gottigere,2 BHK,M denGa,1153,2.0,1.0,48.5
848,848,Super built-up  Area,1st Block Jayanagar,3 BHK,,1630,3.0,2.0,194.0
2248,2260,Plot  Area,Sunkadakatte,3 BHK,,1200,2.0,0.0,80.0
372,372,Super built-up  Area,Bannerghatta Road,2 BHK,NadelCi,1050,2.0,1.0,65.0
5317,5406,Super built-up  Area,Uttarahalli,2 BHK,,1100,1.0,2.0,45.0
5303,5392,Super built-up  Area,Byadarahalli,4 BHK,ETntsce,3500,5.0,,450.0
4052,4105,Super built-up  Area,Indranagar  100ft road defence colony,5 BHK,,5800,5.0,,80.0
3937,3989,Super built-up  Area,Keshava Nagar,3 BHK,ETens G,1904,3.0,3.0,155.0
12655,13176,Super built-up  Area,Channasandra,2 BHK,Unm 2El,1010,2.0,1.0,32.0
4076,4129,Super built-up  Area,HRBR Layout,2 BHK,Srayatr,1210,2.0,1.0,75.0
997,998,Built-up  Area,Somasundara Palya,2 BHK,Abeesmi,1255,2.0,2.0,67.0
4332,4390,Built-up  Area,Yeshwanthpur,2 BHK,IBityin,1000,2.0,2.0,32.0
6576,6722,Super built-up  Area,Kengeri,3 BHK,Liwerun,1741,3.0,2.0,80.0
1176,1179,Super built-up  Area,Yelahanka,1 BHK,Prensya,697,1.0,0.0,45.0
12393,12892,Plot  Area,BCC Layout,7 BHK,,1200,6.0,2.0,235.0
551,551,Super built-up  Area,Munnekollal,2 BHK,Sadhii ,1102,2.0,2.0,53.67
4840,4914,Super built-up  Area,Kaggalipura,2 BHK,Baowsig,950,2.0,1.0,47.0
4372,4431,Plot  Area,Lakshmipura,2 BHK,,1350,2.0,1.0,110.0
3497,3536,Plot  Area,Thanisandra,5 BHK,,750,4.0,0.0,62.0
5872,5987,Super built-up  Area,Malleshwaram,3 BHK,Sariaat,2475,4.0,3.0,326.0
10071,10403,Super built-up  Area,Murugeshpalya,3 BHK,,1600,2.0,1.0,65.0
6187,6317,Built-up  Area,BTM Layout,2 BHK,Varala ,935,2.0,1.0,51.5
7765,7951,Super built-up  Area,Horamavu Agara,3 BHK,,1284,2.0,2.0,75.0
5176,5263,Super built-up  Area,Amruthahalli,3 BHK,,1350,2.0,3.0,63.0
8500,8735,Built-up  Area,Pai Layout,2 BHK,Saage V,1000,2.0,2.0,34.0
7433,7612,Built-up  Area,Yelahanka,4 BHK,,3990,4.0,1.0,260.0
8170,8382,Built-up  Area,TC Palaya,2 BHK,,1000,2.0,0.0,70.0
8768,9018,Super built-up  Area,Ramagondanahalli,2 BHK,ViistLa,1251,2.0,1.0,53.0
693,693,Built-up  Area,Avalahalli,3 BHK,Sohea A,2300,3.0,3.0,120.0
2533,2550,Super built-up  Area,Kannamangala,2 BHK,,1235,2.0,2.0,43.63
5011,5093,Plot  Area,Margondanahalli,2 BHK,,555,1.0,0.0,37.0
3443,3482,Plot  Area,Mathikere SBM colony,2 BHK,,1500,1.0,0.0,160.0
982,983,Super built-up  Area,Thanisandra,3 BHK,,1825,3.0,2.0,100.0
5835,5948,Super built-up  Area,Panathur,3 BHK,Saite G,1370,2.0,2.0,54.8
