,area_type,size,total_sqft,bath,balcony,price
1831,Super built-up  Area,4 BHK,2790.0,4.0,3.0,198.0
1832,Super built-up  Area,3 BHK,1494.0,2.0,2.0,94.55
1833,Super built-up  Area,3 BHK,1482.0,2.0,1.0,87.0
1834,Super built-up  Area,2 BHK,800.0,2.0,3.0,50.0
1835,Super built-up  Area,2 BHK,1185.0,2.0,2.0,47.39
1836,Super built-up  Area,2 BHK,1100.0,2.0,2.0,71.5
1837,Built-up  Area,2 BHK,1300.0,2.0,0.0,120.0
1838,Super built-up  Area,2 BHK,1225.0,2.0,2.0,150.0
1839,Super built-up  Area,3 BHK,1758.0,3.0,2.0,65.0
1840,Super built-up  Area,2 BHK,1145.0,2.0,2.0,55.0
1841,Built-up  Area,2 BHK,1180.0,2.0,2.0,50.0
1842,Super built-up  Area,2 BHK,1260.0,2.0,2.0,58.0
1843,Super built-up  Area,4 BHK,3461.0,,,173.0
1844,Built-up  Area,2 BHK,1190.0,2.0,2.0,55.0
1845,Super built-up  Area,3 BHK,1691.0,3.0,2.0,119.0
1846,Super built-up  Area,4 BHK,3675.0,4.0,3.0,367.0
1847,Built-up  Area,3 BHK,1305.0,3.0,,95.45
1848,Super built-up  Area,3 BHK,2337.0,4.0,3.0,292.0
1849,Plot  Area,2 BHK,1200.0,2.0,2.0,150.0
1850,Super built-up  Area,2 BHK,1206.0,2.0,1.0,217.0
1851,Plot  Area,5 BHK,1350.0,4.0,1.0,130.0
1852,Super built-up  Area,2 BHK,1140.0,2.0,1.0,50.66
1853,Super built-up  Area,2 BHK,1250.0,2.0,2.0,65.0
1854,Plot  Area,3 BHK,600.0,2.0,1.0,60.0
1855,Super built-up  Area,2 BHK,1225.0,2.0,2.0,48.0
1856,Built-up  Area,2 BHK,800.0,2.0,2.0,28.0
1857,Super built-up  Area,2 BHK,1020.0,2.0,1.0,58.0
1858,Built-up  Area,4 BHK,2100.0,2.0,1.0,50.0
1859,Plot  Area,2 BHK,1350.0,2.0,1.0,80.0
1860,Super built-up  Area,2 BHK,925.0,2.0,1.0,40.0
1861,Built-up  Area,4 BHK,1800.0,3.0,1.0,220.0
1862,Built-up  Area,3 BHK,2000.0,3.0,1.0,100.0
1863,Built-up  Area,3 BHK,1510.0,2.0,1.0,75.0
1864,Plot  Area,5 BHK,5800.0,7.0,,1200.0
1865,Super built-up  Area,3 BHK,1614.0,3.0,1.0,110.0
1866,Plot  Area,3 BHK,682.0,2.0,1.0,130.0
1867,Plot  Area,2 BHK,1200.0,2.0,0.0,95.0
1868,Plot  Area,2 BHK,900.0,2.0,0.0,55.0
1869,Built-up  Area,4 BHK,1632.0,3.0,0.0,145.0
1870,Super built-up  Area,2 BHK,1041.0,2.0,2.0,65.5
1871,Built-up  Area,6 BHK,5080.0,7.0,,450.0
1872,Super built-up  Area,4 BHK,3012.0,6.0,2.0,250.0
1873,Super built-up  Area,3 BHK,1530.0,3.0,2.0,74.5
1874,Super built-up  Area,3 BHK,1450.0,2.0,2.0,135.0
1875,Super built-up  Area,2 BHK,1200.0,2.0,2.0,75.0
1876,Plot  Area,4 BHK,1200.0,4.0,,130.0
1877,Super built-up  Area,3 BHK,1508.0,2.0,1.0,110.0
1878,Built-up  Area,7 BHK,600.0,7.0,3.0,106.0
1879,Super built-up  Area,2 BHK,1188.0,2.0,3.0,73.0
1880,Super built-up  Area,4 BHK,2690.0,4.0,3.0,199.0
1881,Super built-up  Area,2 BHK,1174.0,2.0,1.0,76.0
1882,Super built-up  Area,3 BHK,1350.0,3.0,1.0,58.99
1883,Super built-up  Area,3 BHK,1870.0,3.0,3.0,185.0
1884,Super built-up  Area,2 BHK,1072.0,2.0,1.0,25.0
1885,Plot  Area,3 BHK,52272.0,2.0,1.0,140.0
1886,Super built-up  Area,2 BHK,726.0,2.0,1.0,31.0
1887,Super built-up  Area,2 BHK,1345.0,2.0,2.0,106.0
1888,Super built-up  Area,2 BHK,1200.0,2.0,2.0,45.0
1889,Built-up  Area,2 BHK,980.0,2.0,0.0,37.0
1890,Super built-up  Area,2 BHK,1050.0,2.0,1.0,77.0
1891,Super built-up  Area,2 BHK,993.0,2.0,1.0,39.71
1892,Super built-up  Area,3 BHK,1300.0,2.0,2.0,52.0
1893,Super built-up  Area,3 BHK,1743.0,3.0,2.0,85.0
1894,Plot  Area,4 BHK,1204.0,4.0,1.0,125.0
1895,Plot  Area,2 BHK,1200.0,2.0,0.0,67.0
1896,Super built-up  Area,3 BHK,1480.0,3.0,2.0,90.0
1897,Super built-up  Area,2 BHK,950.0,2.0,2.0,32.5
1898,Built-up  Area,1 BHK,640.0,1.0,0.0,55.0
1899,Super built-up  Area,2 BHK,972.0,2.0,1.0,44.0
1900,Super built-up  Area,3 BHK,1840.0,3.0,3.0,98.0
1901,Super built-up  Area,2 BHK,1128.0,2.0,1.0,64.0
1902,Plot  Area,2 BHK,680.0,2.0,0.0,42.0
1903,Plot  Area,2 BHK,2400.0,2.0,1.0,95.0
1904,Built-up  Area,2 BHK,1045.0,2.0,2.0,42.0
1905,Built-up  Area,2 BHK,955.0,2.0,3.0,53.55
1906,Super built-up  Area,3 BHK,1360.0,2.0,2.0,54.39
1907,Super built-up  Area,2 BHK,1150.0,2.0,2.0,63.0
1908,Built-up  Area,4 BHK,3450.0,4.0,3.0,294.0
1909,Super built-up  Area,2 BHK,1115.0,2.0,2.0,56.87
1910,Super built-up  Area,2 BHK,920.0,2.0,2.0,46.0
1911,Super built-up  Area,2 BHK,1030.0,2.0,1.0,41.0
1912,Super built-up  Area,3 BHK,1564.0,3.0,1.0,101.0
1913,Super built-up  Area,2 BHK,1045.0,2.0,1.0,45.0
1914,Plot  Area,4 BHK,1200.0,4.0,1.0,83.0
1915,Built-up  Area,2 BHK,1277.0,2.0,2.0,55.0
1916,Super built-up  Area,3 BHK,2479.13,3.0,1.0,215.0
1917,Super built-up  Area,3 BHK,1846.0,3.0,2.0,140.0
1918,Built-up  Area,2 BHK,1100.0,2.0,0.0,106.0
1919,Super built-up  Area,3 BHK,1690.0,3.0,,75.0
1920,Plot  Area,2 BHK,1200.0,3.0,0.0,70.0
1921,Built-up  Area,4 BHK,3042.0,4.0,0.0,131.0
1922,Super built-up  Area,3 BHK,1640.0,3.0,3.0,223.0
1923,Built-up  Area,2 BHK,1068.0,2.0,1.0,40.05
1924,Super built-up  Area,2 BHK,1135.0,2.0,2.0,58.0
1925,Super built-up  Area,3 BHK,1925.0,3.0,2.0,120.0
1926,Super built-up  Area,3 BHK,1615.0,3.0,2.0,60.0
1927,Super built-up  Area,1 BHK,650.0,1.0,1.0,26.0
1928,Plot  Area,9 BHK,1200.0,9.0,3.0,120.0
1929,Super built-up  Area,2 BHK,1150.0,2.0,3.0,42.0
1930,Plot  Area,6 BHK,930.0,6.0,1.0,135.0
1931,Super built-up  Area,3 BHK,1410.0,2.0,2.0,45.12
1932,Built-up  Area,3 BHK,600.0,2.0,0.0,100.0
1933,Super built-up  Area,3 BHK,2000.0,3.0,3.0,207.0
1934,Super built-up  Area,3 BHK,1354.0,3.0,1.0,90.0
1935,Plot  Area,2 BHK,1050.0,2.0,0.0,110.0
1936,Built-up  Area,1 BHK,600.0,1.0,1.0,28.0
1937,Plot  Area,4 BHK,1320.0,2.0,1.0,110.0
1938,Super built-up  Area,3 BHK,1600.0,3.0,2.0,88.0
1939,Built-up  Area,4 BHK,3500.0,6.0,2.0,225.0
1940,Super built-up  Area,2 BHK,1000.0,2.0,1.0,36.0
1941,Super built-up  Area,3 BHK,1130.0,3.0,1.0,38.0
1942,Super built-up  Area,2 BHK,1238.0,2.0,1.0,67.0
1943,Super built-up  Area,3 BHK,2204.0,2.0,3.0,305.0
1944,Plot  Area,8 BHK,1200.0,12.0,,110.0
1945,Super built-up  Area,3 BHK,1364.0,2.0,3.0,46.38
1946,Built-up  Area,2 BHK,900.0,2.0,1.0,45.0
1947,Super built-up  Area,3 BHK,1745.0,3.0,2.0,104.0
1948,Super built-up  Area,2 BHK,1200.0,2.0,1.0,53.33
1949,Super built-up  Area,2 BHK,1020.0,2.0,1.0,42.83
1950,Super built-up  Area,3 BHK,1650.0,3.0,2.0,118.0
1951,Super built-up  Area,3 BHK,1550.0,2.0,3.0,70.0
1952,Super built-up  Area,2 BHK,1440.0,2.0,2.0,60.0
1953,Super built-up  Area,3 BHK,1329.0,2.0,2.0,45.95
1954,Super built-up  Area,2 BHK,916.0,2.0,1.0,42.0
1955,Super built-up  Area,1 BHK,688.0,1.0,2.0,50.0
1956,Super built-up  Area,3 BHK,1358.0,3.0,3.0,50.0
1957,Super built-up  Area,2 BHK,1331.0,2.0,1.0,107.0
1958,Super built-up  Area,1 BHK,686.0,1.0,1.0,62.5
1959,Super built-up  Area,2 BHK,1050.0,2.0,2.0,50.0
1960,Super built-up  Area,3 BHK,2106.0,3.0,2.0,126.0
1961,Super built-up  Area,3 BHK,1718.0,3.0,2.0,90.2
1962,Super built-up  Area,3 BHK,1530.0,3.0,2.0,57.0
1963,Super built-up  Area,2 BHK,1206.0,2.0,2.0,56.0
1964,Built-up  Area,2 BHK,1075.0,2.0,3.0,52.0
1965,Plot  Area,3 BHK,1200.0,3.0,1.0,95.0
1966,Super built-up  Area,3 BHK,1936.0,2.0,2.0,54.21
1967,Super built-up  Area,4 BHK,2172.65,3.0,3.0,120.0
1968,Super built-up  Area,3 BHK,1100.0,2.0,2.0,75.0
1969,Plot  Area,3 BHK,1260.0,5.0,1.0,185.0
1970,Plot  Area,8 BHK,990.0,12.0,0.0,120.0
1971,Plot  Area,3 BHK,800.0,2.0,1.0,80.0
1972,Super built-up  Area,2 BHK,1117.0,2.0,3.0,29.99
1973,Built-up  Area,3 BHK,1685.0,2.0,1.0,110.0
1974,Super built-up  Area,2 BHK,740.0,2.0,1.0,37.0
1975,Plot  Area,4 BHK,1080.0,4.0,2.0,250.0
1976,Plot  Area,4 BHK,1500.0,2.0,2.0,93.0
1977,Super built-up  Area,3 BHK,1800.0,3.0,2.0,115.0
1978,Super built-up  Area,3 BHK,1700.0,3.0,2.0,130.0
1979,Built-up  Area,2 BHK,850.0,2.0,2.0,37.93
1980,Super built-up  Area,3 BHK,1891.0,3.0,1.0,139.0
1981,Built-up  Area,2 BHK,1400.0,1.0,1.0,80.0
1982,Super built-up  Area,2 BHK,1172.0,2.0,2.0,82.0
1983,Super built-up  Area,3 BHK,1400.0,2.0,2.0,40.43
1984,Built-up  Area,2 BHK,896.0,2.0,1.0,43.75
1985,Super built-up  Area,2 BHK,1180.0,2.0,2.0,65.0
1986,Plot  Area,7 BHK,2460.0,7.0,1.0,350.0
1987,Built-up  Area,2 BHK,850.0,2.0,1.0,33.0
1988,Super built-up  Area,1 BHK,530.0,1.0,1.0,18.0
1989,Super built-up  Area,3 BHK,1550.0,3.0,3.0,110.0
1990,Super built-up  Area,3 BHK,1699.0,3.0,3.0,97.0
1991,Super built-up  Area,4 BHK,2025.0,4.0,3.0,109.0
1992,Super built-up  Area,1 BHK,500.0,2.0,2.0,14.0
1993,Built-up  Area,1 BHK,500.0,1.0,0.0,20.0
1994,Built-up  Area,2 BHK,1146.0,2.0,1.0,38.5
1995,Super built-up  Area,3 BHK,2475.0,4.0,3.0,332.0
1996,Super built-up  Area,2 BHK,1455.0,2.0,1.0,145.0
1997,Plot  Area,2 BHK,800.0,1.0,0.0,50.0
1998,Super built-up  Area,1 BHK,765.0,2.0,2.0,30.0
1999,Super built-up  Area,3 BHK,1521.0,3.0,1.0,94.99
2000,Super built-up  Area,3 BHK,1600.0,2.0,2.0,55.0
2001,Super built-up  Area,3 BHK,3155.0,4.0,2.0,370.0
2002,Super built-up  Area,3 BHK,2900.0,4.0,,240.0
2003,Super built-up  Area,3 BHK,1765.0,3.0,3.0,105.0
2004,Super built-up  Area,3 BHK,1980.0,3.0,2.0,88.0
2005,Built-up  Area,3 BHK,1900.0,3.0,1.0,135.0
2006,Super built-up  Area,2 BHK,1265.0,2.0,3.0,70.0
2007,Super built-up  Area,2 BHK,1034.0,2.0,3.0,40.0
2008,Built-up  Area,2 BHK,1012.0,2.0,1.0,59.0
2009,Super built-up  Area,2 BHK,1070.0,2.0,1.0,54.0
2010,Built-up  Area,4 BHK,3555.0,4.0,1.0,230.0
2011,Super built-up  Area,3 BHK,1270.0,2.0,2.0,70.0
2012,Plot  Area,2 BHK,585.0,1.0,0.0,70.0
2013,Super built-up  Area,3 BHK,2045.0,4.0,3.0,154.0
2014,Super built-up  Area,3 BHK,1490.0,2.0,2.0,98.0
2015,Built-up  Area,7 BHK,6150.0,6.0,1.0,830.0
2016,Super built-up  Area,2 BHK,883.0,2.0,1.0,40.0
2017,Super built-up  Area,1 BHK,671.0,1.0,1.0,36.85
2018,Super built-up  Area,2 BHK,1156.0,2.0,2.0,32.0
2019,Super built-up  Area,3 BHK,2017.0,3.0,2.0,125.0
2020,Super built-up  Area,4 BHK,3122.0,6.0,2.0,235.0
2021,Super built-up  Area,3 BHK,1635.0,3.0,1.0,62.0
2022,Built-up  Area,7 BHK,4400.0,9.0,,120.0
2023,Super built-up  Area,2 BHK,1296.0,2.0,1.0,89.0
2024,Plot  Area,6 BHK,2400.0,4.0,2.0,280.0
2025,Super built-up  Area,2 BHK,1139.0,2.0,2.0,62.0
2026,Super built-up  Area,2 BHK,1230.0,3.0,2.0,47.0
2027,Super built-up  Area,1 BHK,581.91,2.0,1.0,25.0
2028,Super built-up  Area,2 BHK,1245.0,2.0,1.0,86.28
2029,Plot  Area,3 BHK,1158.0,2.0,2.0,85.0
2030,Built-up  Area,4 BHK,3951.0,4.0,2.0,220.0
2031,Super built-up  Area,2 BHK,550.0,1.0,1.0,15.0
2032,Super built-up  Area,1 BHK,360.0,1.0,1.0,26.0
2033,Super built-up  Area,3 BHK,1350.0,3.0,1.0,55.0
2034,Built-up  Area,3 BHK,1670.0,3.0,2.0,120.0
2035,Super built-up  Area,3 BHK,1600.0,2.0,2.0,65.0
2036,Super built-up  Area,2 BHK,1307.0,2.0,2.0,51.6
2037,Built-up  Area,3 BHK,1050.0,2.0,1.0,57.0
2038,Super built-up  Area,3 BHK,1703.0,3.0,,101.0
2039,Super built-up  Area,3 BHK,1210.0,2.0,1.0,58.0
2040,Built-up  Area,2 BHK,1025.0,2.0,1.0,29.6
2041,Super built-up  Area,3 BHK,1343.0,2.0,2.0,56.41
2042,Super built-up  Area,3 BHK,1560.0,3.0,2.0,85.0
2043,Super built-up  Area,2 BHK,925.0,2.0,2.0,51.0
2044,Super built-up  Area,3 BHK,1420.0,2.0,2.0,75.0
2045,Built-up  Area,2 BHK,1415.0,2.0,3.0,110.0
2046,Super built-up  Area,2 BHK,1210.0,2.0,2.0,60.0
2047,Super built-up  Area,3 BHK,1852.0,3.0,2.0,160.0
2048,Super built-up  Area,3 BHK,1250.0,3.0,2.0,50.0
2049,Super built-up  Area,2 BHK,1100.0,2.0,1.0,65.0
2050,Super built-up  Area,2 BHK,1150.0,2.0,1.0,40.25
2051,Super built-up  Area,2 BHK,1100.0,2.0,1.0,53.35
2052,Plot  Area,2 BHK,1350.0,1.0,0.0,100.0
2053,Super built-up  Area,3 BHK,1546.0,3.0,2.0,99.0
2054,Super built-up  Area,2 BHK,1424.0,2.0,2.0,90.0
2055,Built-up  Area,3 BHK,1398.0,3.0,1.0,68.0
2056,Super built-up  Area,3 BHK,1650.0,3.0,2.0,200.0
2057,Plot  Area,4 BHK,1200.0,4.0,0.0,120.0
2058,Super built-up  Area,3 BHK,1476.0,3.0,2.0,105.0
2059,Built-up  Area,2 BHK,500.0,2.0,1.0,70.0
2060,Super built-up  Area,3 BHK,1322.0,2.0,2.0,58.82
2061,Plot  Area,2 BHK,432.0,2.0,1.0,40.0
2062,Built-up  Area,2 BHK,1100.0,2.0,2.0,55.0
2063,Super built-up  Area,4 BHK,4750.0,5.0,,600.0
2064,Built-up  Area,3 BHK,1285.0,2.0,2.0,68.0
2065,Built-up  Area,2 BHK,1150.0,2.0,2.0,80.0
2066,Super built-up  Area,3 BHK,1430.0,2.0,2.0,56.0
2067,Super built-up  Area,3 BHK,1350.0,2.0,2.0,62.0
2068,Plot  Area,3 BHK,1350.0,3.0,3.0,195.0
2069,Built-up  Area,2 BHK,1185.0,2.0,2.0,65.0
2070,Super built-up  Area,3 BHK,1760.0,3.0,2.0,67.0
2071,Plot  Area,4 BHK,2400.0,5.0,2.0,350.0
2072,Super built-up  Area,2 BHK,900.0,2.0,1.0,41.0
2073,Super built-up  Area,2 BHK,1297.0,2.0,1.0,105.0
2074,Super built-up  Area,3 BHK,1840.0,3.0,2.0,155.0
2075,Built-up  Area,2 BHK,950.0,2.0,1.0,50.79
2076,Plot  Area,5 BHK,1200.0,4.0,1.0,70.0
2077,Carpet  Area,2 BHK,950.0,2.0,1.0,52.0
2078,Super built-up  Area,2 BHK,1277.5,2.0,0.0,95.815
2079,Super built-up  Area,3 BHK,1571.0,3.0,2.0,89.0
2080,Super built-up  Area,2 BHK,1031.0,2.0,1.0,55.0
2081,Super built-up  Area,2 BHK,1485.0,2.0,1.0,90.0
2082,Super built-up  Area,2 BHK,1109.0,2.0,1.0,60.0
2083,Super built-up  Area,3 BHK,2200.0,3.0,2.0,180.0
2084,Super built-up  Area,1 BHK,950.0,1.0,1.0,50.0
2085,Plot  Area,3 BHK,1200.0,2.0,0.0,150.0
2086,Super built-up  Area,3 BHK,2350.0,3.0,3.0,300.0
2087,Super built-up  Area,2 BHK,1003.0,2.0,1.0,40.6
2088,Plot  Area,2 BHK,1350.0,2.0,1.0,185.0
2089,Super built-up  Area,2 BHK,1080.0,2.0,2.0,37.0
2090,Super built-up  Area,2 BHK,1255.0,2.0,2.0,73.0
2091,Super built-up  Area,2 BHK,1250.0,2.0,0.0,60.0
2092,Plot  Area,4 BHK,1700.0,4.0,1.0,152.0
2093,Plot  Area,3 BHK,1200.0,2.0,0.0,66.0
2094,Built-up  Area,2 BHK,824.0,2.0,0.0,60.0
2095,Super built-up  Area,3 BHK,1875.0,3.0,1.0,167.0
2096,Built-up  Area,3 BHK,1320.0,2.0,1.0,38.12
2097,Plot  Area,5 BHK,9600.0,5.0,2.0,550.0
2098,Super built-up  Area,3 BHK,1330.0,2.0,1.0,47.0
2099,Super built-up  Area,3 BHK,1220.0,3.0,2.0,56.0
2100,Super built-up  Area,3 BHK,1111.0,3.0,1.0,50.0
2101,Super built-up  Area,2 BHK,1197.0,2.0,1.0,47.88
2102,Super built-up  Area,4 BHK,2519.0,5.0,2.0,185.0
2103,Super built-up  Area,3 BHK,1340.0,2.0,1.0,100.0
2104,Plot  Area,4 BHK,1450.0,3.0,3.0,132.0
2105,Super built-up  Area,3 BHK,1837.0,3.0,3.0,145.0
2106,Plot  Area,4 BHK,1200.0,4.0,,245.0
2107,Super built-up  Area,2 BHK,1238.0,2.0,3.0,55.0
2108,Super built-up  Area,3 BHK,1405.0,2.0,2.0,59.01
2109,Super built-up  Area,4 BHK,1690.0,3.0,2.0,80.0
2110,Built-up  Area,3 BHK,1620.0,2.0,1.0,110.0
2111,Super built-up  Area,3 BHK,1673.0,3.0,2.0,115.0
2112,Plot  Area,2 BHK,1090.0,2.0,0.0,58.0
2113,Super built-up  Area,2 BHK,1112.0,2.0,2.0,40.0
2114,Super built-up  Area,3 BHK,1385.0,2.0,2.0,66.65
2115,Super built-up  Area,2 BHK,545.0,1.0,1.0,27.0
2116,Super built-up  Area,2 BHK,985.0,2.0,1.0,58.0
2117,Super built-up  Area,1 BHK,825.0,1.0,0.0,36.29
2118,Super built-up  Area,2 BHK,1080.0,2.0,1.0,37.8
2119,Super built-up  Area,2 BHK,1430.0,2.0,1.0,97.52
2120,Super built-up  Area,2 BHK,1050.0,2.0,2.0,43.0
2121,Plot  Area,4 BHK,2000.0,4.0,1.0,139.0
2122,Built-up  Area,4 BHK,4800.0,4.0,3.0,190.0
2123,Built-up  Area,3 BHK,1533.0,3.0,2.0,115.0
2124,Plot  Area,4 BHK,2800.0,3.0,2.0,500.0
2125,Super built-up  Area,3 BHK,2610.0,3.0,,399.0
2126,Super built-up  Area,3 BHK,1750.0,3.0,2.0,150.0
2127,Super built-up  Area,2 BHK,1352.0,2.0,2.0,87.5
2128,Super built-up  Area,3 BHK,1754.0,3.0,2.0,125.0
2129,Built-up  Area,3 BHK,1560.0,3.0,2.0,85.0
2130,Super built-up  Area,4 BHK,3012.0,6.0,2.0,268.0
2131,Super built-up  Area,4 BHK,3584.0,4.0,,199.0
2132,Super built-up  Area,3 BHK,1470.0,2.0,1.0,90.0
2133,Built-up  Area,2 BHK,1035.0,2.0,1.0,45.0
2134,Plot  Area,4 BHK,2400.0,5.0,,329.0
2135,Built-up  Area,2 BHK,1160.0,2.0,1.0,52.0
2136,Super built-up  Area,2 BHK,1100.0,2.0,2.0,52.0
2137,Super built-up  Area,2 BHK,1170.0,2.0,,38.0
2138,Super built-up  Area,1 BHK,595.0,1.0,1.0,31.83
2139,Super built-up  Area,3 BHK,1650.0,3.0,2.0,110.0
2140,Super built-up  Area,3 BHK,1875.0,2.0,3.0,235.0
2141,Super built-up  Area,4 BHK,800.0,4.0,1.0,80.0
2142,Super built-up  Area,3 BHK,1375.0,2.0,3.0,48.06
2143,Super built-up  Area,2 BHK,1235.0,2.0,1.0,46.8
2144,Super built-up  Area,1 BHK,750.0,1.0,2.0,25.0
2145,Built-up  Area,3 BHK,1400.0,3.0,1.0,115.0
2146,Super built-up  Area,3 BHK,1270.0,2.0,2.0,50.79
2147,Super built-up  Area,2 BHK,1105.0,2.0,1.0,51.0
2148,Super built-up  Area,3 BHK,1375.0,2.0,3.0,85.0
2149,Plot  Area,4 BHK,2168.0,4.0,2.0,95.0
2150,Built-up  Area,8 BHK,1200.0,8.0,3.0,90.0
2151,Super built-up  Area,2 BHK,1065.0,2.0,1.0,40.84
2152,Plot  Area,3 BHK,3800.0,3.0,0.0,580.0
2153,Plot  Area,9 BHK,3125.0,9.0,,350.0
2154,Super built-up  Area,1 BHK,825.0,1.0,1.0,45.0
2155,Built-up  Area,2 BHK,1095.0,2.0,0.0,40.0
2156,Plot  Area,3 BHK,720.0,3.0,3.0,65.0
2157,Super built-up  Area,3 BHK,1440.0,2.0,2.0,60.33
2158,Super built-up  Area,2 BHK,870.0,2.0,1.0,39.5
2159,Super built-up  Area,2 BHK,1195.0,2.0,1.0,84.0
2160,Super built-up  Area,2 BHK,1200.0,2.0,1.0,49.5
2161,Super built-up  Area,3 BHK,1530.0,3.0,3.0,61.2
2162,Super built-up  Area,3 BHK,1708.0,2.0,1.0,90.5
2163,Super built-up  Area,2 BHK,975.0,2.0,1.0,43.0
2164,Built-up  Area,2 BHK,750.0,2.0,1.0,25.0
2165,Plot  Area,8 BHK,1200.0,8.0,2.0,190.0
2166,Super built-up  Area,3 BHK,1920.0,3.0,2.0,130.0
2167,Plot  Area,6 BHK,1200.0,5.0,2.0,240.0
2168,Super built-up  Area,2 BHK,1183.0,2.0,1.0,58.56
2169,Plot  Area,4 BHK,1140.0,4.0,1.0,90.0
2170,Super built-up  Area,3 BHK,1550.0,2.0,2.0,65.0
2171,Super built-up  Area,2 BHK,1110.0,2.0,3.0,53.0
2172,Plot  Area,8 BHK,1500.0,10.0,3.0,165.0
2173,Super built-up  Area,2 BHK,1105.0,2.0,1.0,38.67
2174,Plot  Area,3 BHK,1800.0,3.0,2.0,68.0
2175,Super built-up  Area,5 BHK,2800.0,4.0,2.0,200.0
2176,Super built-up  Area,2 BHK,1000.0,2.0,2.0,29.9
2177,Built-up  Area,2 BHK,1190.0,2.0,2.0,68.0
2178,Plot  Area,4 BHK,1350.0,4.0,1.0,200.0
2179,Super built-up  Area,4 BHK,3067.0,4.0,2.0,230.0
2180,Super built-up  Area,3 BHK,1929.0,4.0,1.0,103.0
2181,Built-up  Area,3 BHK,1525.0,3.0,1.0,100.0
2182,Super built-up  Area,3 BHK,1775.0,3.0,3.0,110.0
2183,Built-up  Area,2 BHK,1125.0,2.0,1.0,63.0
2184,Super built-up  Area,2 BHK,900.0,2.0,2.0,42.0
2185,Super built-up  Area,2 BHK,1155.0,2.0,1.0,58.0
2186,Built-up  Area,4 BHK,1200.0,4.0,0.0,75.0
2187,Super built-up  Area,2 BHK,1268.0,2.0,1.0,73.0
2188,Built-up  Area,3 BHK,1500.0,3.0,2.0,88.0
2189,Super built-up  Area,1 BHK,630.0,1.0,1.0,47.0
2190,Super built-up  Area,3 BHK,1525.0,3.0,2.0,65.0
2191,Super built-up  Area,2 BHK,1060.0,2.0,2.0,48.0
2192,Super built-up  Area,3 BHK,1687.0,3.0,3.0,127.0
2193,Super built-up  Area,3 BHK,1847.0,3.0,2.0,123.0
2194,Super built-up  Area,3 BHK,1410.0,2.0,3.0,53.0
2195,Super built-up  Area,2 BHK,1075.0,2.0,1.0,42.99
2196,Super built-up  Area,4 BHK,3526.0,4.0,,492.0
2197,Built-up  Area,3 BHK,3000.0,3.0,0.0,338.0
2198,Built-up  Area,3 BHK,1500.0,2.0,1.0,143.0
2199,Built-up  Area,2 BHK,1010.0,2.0,2.0,46.0
2200,Super built-up  Area,3 BHK,1875.0,3.0,3.0,110.0
2201,Plot  Area,5 BHK,1200.0,6.0,,137.0
2202,Super built-up  Area,2 BHK,983.0,2.0,1.0,50.6
2203,Super built-up  Area,2 BHK,1101.0,2.0,2.0,65.0
2204,Super built-up  Area,2 BHK,1140.0,2.0,1.0,76.0
2205,Super built-up  Area,2 BHK,1215.0,2.0,2.0,110.0
2206,Super built-up  Area,2 BHK,1007.0,2.0,3.0,42.0
2207,Super built-up  Area,3 BHK,2039.0,3.0,2.0,168.0
2208,Built-up  Area,3 BHK,1020.0,3.0,2.0,110.0
2209,Super built-up  Area,2 BHK,1198.0,2.0,1.0,84.0
2210,Built-up  Area,4 BHK,4000.0,4.0,1.0,520.0
2211,Plot  Area,4 BHK,1470.0,4.0,2.0,34.5
2212,Built-up  Area,2 BHK,1370.0,2.0,2.0,75.0
2213,Super built-up  Area,2 BHK,1316.0,2.0,3.0,55.5
2214,Super built-up  Area,3 BHK,1350.0,3.0,1.0,55.5
2215,Super built-up  Area,2 BHK,1050.0,2.0,1.0,43.0
2216,Carpet  Area,3 BHK,1128.76,3.0,0.0,47.405
2217,Super built-up  Area,2 BHK,921.0,2.0,1.0,34.0
2218,Super built-up  Area,2 BHK,1010.0,2.0,1.0,49.27
2219,Super built-up  Area,2 BHK,1015.0,2.0,1.0,43.0
2220,Plot  Area,3 BHK,1200.0,2.0,0.0,66.5
2221,Built-up  Area,2 BHK,1179.0,2.0,1.0,75.0
2222,Built-up  Area,4 BHK,1850.0,4.0,2.0,86.0
2223,Super built-up  Area,2 BHK,870.0,2.0,1.0,24.0
2224,Super built-up  Area,3 BHK,1605.0,3.0,2.0,85.0
2225,Plot  Area,4 BHK,2800.0,4.0,2.0,89.0
2226,Super built-up  Area,3 BHK,2475.0,4.0,3.0,320.0
2227,Plot  Area,2 BHK,3000.0,2.0,0.0,510.0
2228,Plot  Area,6 BHK,2400.0,7.0,2.0,110.0
2229,Super built-up  Area,2 BHK,1000.0,1.0,1.0,55.0
2230,Plot  Area,2 BHK,1200.0,2.0,0.0,80.0
2231,Plot  Area,2 BHK,1200.0,2.0,2.0,125.0
2232,Plot  Area,2 BHK,1200.0,2.0,1.0,66.0
2233,Built-up  Area,2 BHK,1200.0,2.0,2.0,50.0
2234,Super built-up  Area,2 BHK,1255.0,2.0,1.0,57.5
2235,Super built-up  Area,2 BHK,1085.0,2.0,2.0,30.38
2236,Super built-up  Area,3 BHK,1592.0,3.0,,125.0
2237,Super built-up  Area,2 BHK,1313.0,2.0,1.0,58.27
2238,Super built-up  Area,3 BHK,1934.0,3.0,2.0,150.0
2239,Super built-up  Area,2 BHK,1200.0,2.0,1.0,49.5
